keyword,day,interest
quiet quitting,50,42.1
quiet quitting,51,42.6
quiet quitting,52,43.9
quiet quitting,53,50.1
quiet quitting,54,39.1
quiet quitting,55,41.0
quiet quitting,56,46.2
quiet quitting,57,48.6
quiet quitting,58,51.2
quiet quitting,59,50.8
quiet quitting,60,48.2
quiet quitting,61,52.2
quiet quitting,62,51.8
quiet quitting,63,48.6
quiet quitting,64,50.1
quiet quitting,65,47.0
quiet quitting,66,43.3
quiet quitting,67,45.9
quiet quitting,68,43.0
quiet quitting,69,41.6
quiet quitting,70,45.0
quiet quitting,71,32.4
quiet quitting,72,34.9
quiet quitting,73,35.2
quiet quitting,74,37.5
quiet quitting,75,37.9
quiet quitting,76,34.5
quiet quitting,77,36.6
quiet quitting,78,37.7
quiet quitting,79,48.6
quiet quitting,80,47.6
quiet quitting,81,42.1
quiet quitting,82,43.2
quiet quitting,83,41.9
quiet quitting,84,40.5
quiet quitting,85,46.5
quiet quitting,86,44.4
quiet quitting,87,47.4
quiet quitting,88,42.9
quiet quitting,89,45.2
quiet quitting,90,47.5
quiet quitting,91,47.5
quiet quitting,92,46.7
quiet quitting,93,40.5
quiet quitting,94,45.9
quiet quitting,95,39.8
quiet quitting,96,42.9
quiet quitting,97,39.8
quiet quitting,98,34.8
quiet quitting,99,37.1
quiet quitting,100,38.5
quiet quitting,101,38.9
quiet quitting,102,36.5
quiet quitting,103,41.6
quiet quitting,104,40.3
quiet quitting,105,37.1
quiet quitting,106,40.9
quiet quitting,107,45.3
quiet quitting,108,46.4
quiet quitting,109,37.9
quiet quitting,110,39.9
quiet quitting,111,48.1
quiet quitting,112,41.3
quiet quitting,113,41.3
quiet quitting,114,44.3
quiet quitting,115,47.3
quiet quitting,116,45.7
quiet quitting,117,43.9
quiet quitting,118,43.3
quiet quitting,119,42.5
quiet quitting,120,41.2
quiet quitting,121,49.6
quiet quitting,122,42.5
quiet quitting,123,43.1
quiet quitting,124,37.8
quiet quitting,125,37.6
quiet quitting,126,35.1
quiet quitting,127,28.4
quiet quitting,128,31.6
quiet quitting,129,29.9
quiet quitting,130,28.5
quiet quitting,131,31.7
quiet quitting,132,39.6
quiet quitting,133,36.1
quiet quitting,134,40.8
quiet quitting,135,39.1
quiet quitting,136,41.2
quiet quitting,137,37.2
quiet quitting,138,42.5
quiet quitting,139,44.1
quiet quitting,140,41.1
quiet quitting,141,45.2
quiet quitting,142,45.7
quiet quitting,143,42.7
quiet quitting,144,41.0
quiet quitting,145,40.6
quiet quitting,146,43.9
quiet quitting,147,44.0
quiet quitting,148,39.7
quiet quitting,149,41.2
quiet quitting,150,41.7
quiet quitting,151,40.6
quiet quitting,152,42.3
quiet quitting,153,40.4
quiet quitting,154,32.5
quiet quitting,155,39.8
quiet quitting,156,32.5
quiet quitting,157,36.8
quiet quitting,158,33.7
quiet quitting,159,32.4
quiet quitting,160,28.5
quiet quitting,161,34.0
quiet quitting,162,30.6
quiet quitting,163,39.1
quiet quitting,164,41.7
quiet quitting,165,35.9
quiet quitting,166,40.2
quiet quitting,167,38.1
quiet quitting,168,39.3
quiet quitting,169,44.2
quiet quitting,170,42.3
quiet quitting,171,47.9
quiet quitting,172,41.2
quiet quitting,173,45.5
quiet quitting,174,42.3
quiet quitting,175,43.7
quiet quitting,176,39.1
quiet quitting,177,39.3
quiet quitting,178,37.9
quiet quitting,179,34.6
main character syndrome,0,25.9
main character syndrome,1,26.6
main character syndrome,2,29.8
main character syndrome,3,30.5
main character syndrome,4,26.8
main character syndrome,5,29.5
main character syndrome,6,27.7
main character syndrome,7,29.8
main character syndrome,8,28.6
main character syndrome,9,34.2
main character syndrome,10,31.0
main character syndrome,11,29.3
main character syndrome,12,32.4
main character syndrome,13,23.4
main character syndrome,14,23.0
main character syndrome,15,29.2
main character syndrome,16,26.5
main character syndrome,17,26.1
main character syndrome,18,21.3
main character syndrome,19,23.9
main character syndrome,20,28.3
main character syndrome,21,24.9
main character syndrome,22,23.0
main character syndrome,23,21.4
main character syndrome,24,21.6
main character syndrome,25,17.6
main character syndrome,26,24.0
main character syndrome,27,26.1
main character syndrome,28,20.9
main character syndrome,29,24.0
main character syndrome,30,23.7
main character syndrome,31,25.1
main character syndrome,32,28.5
main character syndrome,33,23.9
main character syndrome,34,31.3
main character syndrome,35,32.2
main character syndrome,36,30.0
main character syndrome,37,24.5
main character syndrome,38,28.2
main character syndrome,39,33.5
main character syndrome,40,23.0
main character syndrome,41,28.5
main character syndrome,42,25.7
main character syndrome,43,29.8
main character syndrome,44,25.2
main character syndrome,45,27.1
main character syndrome,46,26.6
main character syndrome,47,29.1
main character syndrome,48,23.3
main character syndrome,49,24.3
main character syndrome,50,19.4
main character syndrome,51,26.0
main character syndrome,52,21.2
main character syndrome,53,22.0
main character syndrome,54,23.9
main character syndrome,55,20.7
main character syndrome,56,25.9
main character syndrome,57,28.6
main character syndrome,58,27.9
main character syndrome,59,24.1
main character syndrome,60,28.6
main character syndrome,61,31.5
main character syndrome,62,25.6
main character syndrome,63,28.2
main character syndrome,64,33.4
main character syndrome,65,32.0
main character syndrome,66,32.3
main character syndrome,67,35.6
main character syndrome,68,31.7
main character syndrome,69,31.5
main character syndrome,70,35.9
main character syndrome,71,27.8
main character syndrome,72,25.5
main character syndrome,73,27.7
main character syndrome,74,26.9
main character syndrome,75,23.7
main character syndrome,76,21.8
main character syndrome,77,29.7
main character syndrome,78,24.5
main character syndrome,79,21.7
main character syndrome,80,26.0
main character syndrome,81,23.7
main character syndrome,82,23.9
main character syndrome,83,26.5
main character syndrome,84,22.7
main character syndrome,85,27.7
main character syndrome,86,32.5
main character syndrome,87,29.8
main character syndrome,88,28.5
main character syndrome,89,29.0
main character syndrome,90,29.9
main character syndrome,91,30.8
main character syndrome,92,30.8
main character syndrome,93,34.2
main character syndrome,94,27.5
main character syndrome,95,33.7
main character syndrome,96,30.1
main character syndrome,97,31.4
main character syndrome,98,26.9
main character syndrome,99,32.2
main character syndrome,100,31.2
main character syndrome,101,29.6
main character syndrome,102,22.6
main character syndrome,103,27.7
main character syndrome,104,26.0
main character syndrome,105,20.5
main character syndrome,106,24.2
main character syndrome,107,25.1
main character syndrome,108,25.6
main character syndrome,109,25.0
main character syndrome,110,25.8
main character syndrome,111,29.4
main character syndrome,112,29.5
main character syndrome,113,20.2
main character syndrome,114,27.4
main character syndrome,115,28.7
main character syndrome,116,25.6
main character syndrome,117,31.0
main character syndrome,118,34.6
main character syndrome,119,29.3
main character syndrome,120,33.1
main character syndrome,121,30.1
main character syndrome,122,30.7
main character syndrome,123,35.8
main character syndrome,124,30.3
main character syndrome,125,32.2
main character syndrome,126,25.6
main character syndrome,127,34.1
main character syndrome,128,30.1
main character syndrome,129,27.3
main character syndrome,130,28.3
main character syndrome,131,22.6
main character syndrome,132,28.5
main character syndrome,133,24.3
main character syndrome,134,24.3
main character syndrome,135,23.5
main character syndrome,136,23.4
main character syndrome,137,26.9
main character syndrome,138,26.2
main character syndrome,139,27.9
main character syndrome,140,27.0
main character syndrome,141,29.2
main character syndrome,142,27.8
main character syndrome,143,35.3
main character syndrome,144,26.7
main character syndrome,145,34.5
main character syndrome,146,35.4
main character syndrome,147,30.4
main character syndrome,148,38.4
main character syndrome,149,35.5
main character syndrome,150,35.3
main character syndrome,151,32.7
main character syndrome,152,31.6
main character syndrome,153,31.1
main character syndrome,154,31.8
main character syndrome,155,33.5
main character syndrome,156,29.6
main character syndrome,157,26.0
main character syndrome,158,29.5
main character syndrome,159,29.0
main character syndrome,160,27.7
main character syndrome,161,27.5
main character syndrome,162,24.7
main character syndrome,163,22.9
main character syndrome,164,23.2
main character syndrome,165,21.6
main character syndrome,166,26.8
main character syndrome,167,26.6
main character syndrome,168,26.5
main character syndrome,169,21.1
main character syndrome,170,26.2
main character syndrome,171,33.1
main character syndrome,172,29.5
main character syndrome,173,32.8
main character syndrome,174,29.1
main character syndrome,175,36.7
main character syndrome,176,33.1
main character syndrome,177,34.3
main character syndrome,178,39.3
main character syndrome,179,37.0
hikikomori,0,12.6
hikikomori,1,13.5
hikikomori,2,15.6
hikikomori,3,14.9
hikikomori,4,14.7
hikikomori,5,18.9
hikikomori,6,16.1
hikikomori,7,21.3
hikikomori,8,17.1
hikikomori,9,20.6
hikikomori,10,17.8
hikikomori,11,19.0
hikikomori,12,15.5
hikikomori,13,15.0
hikikomori,14,17.3
hikikomori,15,18.0
hikikomori,16,15.6
hikikomori,17,12.6
hikikomori,18,12.0
hikikomori,19,11.4
hikikomori,20,10.4
hikikomori,21,13.8
hikikomori,22,15.6
hikikomori,23,13.2
hikikomori,24,8.7
hikikomori,25,12.9
hikikomori,26,13.2
hikikomori,27,17.9
hikikomori,28,11.2
hikikomori,29,13.7
hikikomori,30,18.3
hikikomori,31,16.3
hikikomori,32,16.9
hikikomori,33,16.5
hikikomori,34,17.3
hikikomori,35,18.5
hikikomori,36,15.6
hikikomori,37,19.1
hikikomori,38,14.6
hikikomori,39,18.0
hikikomori,40,17.5
hikikomori,41,15.7
hikikomori,42,16.6
hikikomori,43,15.0
hikikomori,44,13.7
hikikomori,45,14.7
hikikomori,46,12.8
hikikomori,47,15.2
hikikomori,48,11.9
hikikomori,49,15.3
hikikomori,50,11.3
hikikomori,51,12.4
hikikomori,52,12.3
hikikomori,53,16.2
hikikomori,54,14.4
hikikomori,55,13.6
hikikomori,56,15.3
hikikomori,57,10.5
hikikomori,58,15.1
hikikomori,59,19.6
hikikomori,60,16.4
hikikomori,61,16.7
hikikomori,62,18.0
hikikomori,63,19.0
hikikomori,64,13.5
hikikomori,65,14.2
hikikomori,66,18.1
hikikomori,67,16.2
hikikomori,68,20.1
hikikomori,69,16.6
hikikomori,70,13.0
hikikomori,71,14.0
hikikomori,72,10.6
hikikomori,73,15.2
hikikomori,74,14.9
hikikomori,75,14.0
hikikomori,76,16.6
hikikomori,77,16.6
hikikomori,78,13.6
hikikomori,79,9.6
hikikomori,80,15.0
hikikomori,81,15.0
hikikomori,82,14.7
hikikomori,83,16.3
hikikomori,84,12.3
hikikomori,85,19.0
hikikomori,86,13.5
hikikomori,87,17.4
hikikomori,88,13.0
hikikomori,89,14.9
hikikomori,90,20.2
hikikomori,91,17.0
hikikomori,92,19.4
hikikomori,93,18.4
hikikomori,94,17.7
hikikomori,95,20.6
hikikomori,96,17.3
hikikomori,97,13.9
hikikomori,98,15.6
hikikomori,99,17.9
hikikomori,100,17.2
hikikomori,101,12.8
hikikomori,102,14.1
hikikomori,103,14.0
hikikomori,104,14.0
hikikomori,105,11.7
hikikomori,106,13.0
hikikomori,107,12.7
hikikomori,108,15.6
hikikomori,109,15.8
hikikomori,110,14.0
hikikomori,111,13.8
hikikomori,112,15.2
hikikomori,113,13.7
hikikomori,114,13.4
hikikomori,115,14.3
hikikomori,116,15.4
hikikomori,117,14.7
hikikomori,118,17.8
hikikomori,119,19.2
hikikomori,120,14.8
hikikomori,121,18.2
hikikomori,122,17.8
hikikomori,123,18.9
hikikomori,124,18.0
hikikomori,125,14.9
hikikomori,126,14.9
hikikomori,127,17.2
hikikomori,128,18.7
hikikomori,129,11.8
hikikomori,130,16.5
hikikomori,131,17.8
hikikomori,132,14.7
hikikomori,133,15.8
hikikomori,134,13.1
hikikomori,135,14.2
hikikomori,136,11.1
hikikomori,137,9.7
hikikomori,138,16.5
hikikomori,139,12.9
hikikomori,140,14.3
hikikomori,141,12.8
hikikomori,142,13.2
hikikomori,143,16.1
hikikomori,144,15.5
hikikomori,145,18.1
hikikomori,146,18.6
hikikomori,147,18.7
hikikomori,148,18.8
hikikomori,149,21.6
hikikomori,150,16.4
hikikomori,151,18.3
hikikomori,152,20.6
hikikomori,153,20.6
hikikomori,154,14.9
hikikomori,155,16.8
hikikomori,156,19.7
hikikomori,157,17.5
hikikomori,158,16.5
hikikomori,159,15.2
hikikomori,160,14.6
hikikomori,161,15.6
hikikomori,162,14.3
hikikomori,163,14.6
hikikomori,164,14.8
hikikomori,165,13.4
hikikomori,166,15.9
hikikomori,167,21.0
hikikomori,168,11.9
hikikomori,169,16.5
hikikomori,170,14.8
hikikomori,171,17.9
hikikomori,172,17.3
hikikomori,173,19.2
hikikomori,174,20.4
hikikomori,175,18.7
hikikomori,176,20.8
hikikomori,177,14.0
hikikomori,178,22.0
hikikomori,179,19.5
phone anxiety,0,26.9
phone anxiety,1,28.6
phone anxiety,2,31.9
phone anxiety,3,32.4
phone anxiety,4,34.1
phone anxiety,5,37.1
phone anxiety,6,30.5
phone anxiety,7,38.4
phone anxiety,8,36.5
phone anxiety,9,36.4
phone anxiety,10,33.4
phone anxiety,11,38.6
phone anxiety,12,30.9
phone anxiety,13,38.6
phone anxiety,14,32.5
phone anxiety,15,35.9
phone anxiety,16,34.7
phone anxiety,17,37.2
phone anxiety,18,32.8
phone anxiety,19,30.6
phone anxiety,20,30.3
phone anxiety,21,34.3
phone anxiety,22,31.8
phone anxiety,23,29.0
phone anxiety,24,29.2
phone anxiety,25,25.7
phone anxiety,26,31.0
phone anxiety,27,25.7
phone anxiety,28,32.8
phone anxiety,29,31.9
phone anxiety,30,38.6
phone anxiety,31,30.4
phone anxiety,32,33.9
phone anxiety,33,39.8
phone anxiety,34,39.1
phone anxiety,35,34.9
phone anxiety,36,37.9
phone anxiety,37,37.8
phone anxiety,38,38.8
phone anxiety,39,36.3
phone anxiety,40,37.8
phone anxiety,41,33.6
phone anxiety,42,37.6
phone anxiety,43,37.8
phone anxiety,44,35.2
phone anxiety,45,30.8
phone anxiety,46,36.7
phone anxiety,47,34.2
phone anxiety,48,30.6
phone anxiety,49,31.1
phone anxiety,50,27.3
phone anxiety,51,28.2
phone anxiety,52,29.2
phone anxiety,53,33.8
phone anxiety,54,29.1
phone anxiety,55,32.8
phone anxiety,56,30.3
phone anxiety,57,33.1
phone anxiety,58,32.9
phone anxiety,59,36.4
phone anxiety,60,33.7
phone anxiety,61,31.9
phone anxiety,62,33.2
phone anxiety,63,36.2
phone anxiety,64,34.9
phone anxiety,65,39.7
phone anxiety,66,37.7
phone anxiety,67,45.2
phone anxiety,68,34.4
phone anxiety,69,39.1
phone anxiety,70,35.1
phone anxiety,71,36.1
phone anxiety,72,37.0
phone anxiety,73,29.8
phone anxiety,74,35.6
phone anxiety,75,39.1
phone anxiety,76,32.1
phone anxiety,77,33.3
phone anxiety,78,34.7
phone anxiety,79,31.2
phone anxiety,80,29.9
phone anxiety,81,25.5
phone anxiety,82,33.3
phone anxiety,83,31.7
phone anxiety,84,29.9
phone anxiety,85,33.6
phone anxiety,86,32.6
phone anxiety,87,33.6
phone anxiety,88,37.5
phone anxiety,89,33.3
phone anxiety,90,40.4
phone anxiety,91,34.8
phone anxiety,92,37.3
phone anxiety,93,44.5
phone anxiety,94,42.7
phone anxiety,95,40.1
phone anxiety,96,37.3
phone anxiety,97,38.0
phone anxiety,98,39.1
phone anxiety,99,38.4
phone anxiety,100,37.3
phone anxiety,101,36.6
phone anxiety,102,35.3
phone anxiety,103,31.2
phone anxiety,104,32.8
phone anxiety,105,35.8
phone anxiety,106,29.3
phone anxiety,107,32.0
phone anxiety,108,30.2
phone anxiety,109,32.6
phone anxiety,110,31.5
phone anxiety,111,36.7
phone anxiety,112,34.7
phone anxiety,113,30.7
phone anxiety,114,36.7
phone anxiety,115,33.8
phone anxiety,116,35.2
phone anxiety,117,38.5
phone anxiety,118,37.2
phone anxiety,119,41.6
phone anxiety,120,37.9
phone anxiety,121,38.7
phone anxiety,122,38.9
phone anxiety,123,39.2
phone anxiety,124,43.4
phone anxiety,125,41.9
phone anxiety,126,44.2
phone anxiety,127,45.0
phone anxiety,128,35.7
phone anxiety,129,37.7
phone anxiety,130,33.6
phone anxiety,131,33.8
phone anxiety,132,33.4
phone anxiety,133,31.6
phone anxiety,134,31.0
phone anxiety,135,33.0
phone anxiety,136,30.0
phone anxiety,137,35.3
phone anxiety,138,30.9
phone anxiety,139,41.0
phone anxiety,140,33.1
phone anxiety,141,35.1
phone anxiety,142,32.4
phone anxiety,143,41.1
phone anxiety,144,40.5
phone anxiety,145,39.3
phone anxiety,146,35.8
phone anxiety,147,40.6
phone anxiety,148,37.8
phone anxiety,149,45.0
phone anxiety,150,43.6
phone anxiety,151,41.8
phone anxiety,152,35.1
phone anxiety,153,38.5
phone anxiety,154,42.4
phone anxiety,155,43.1
phone anxiety,156,42.1
phone anxiety,157,34.2
phone anxiety,158,38.3
phone anxiety,159,39.3
phone anxiety,160,31.5
phone anxiety,161,35.1
phone anxiety,162,35.3
phone anxiety,163,33.4
phone anxiety,164,29.2
phone anxiety,165,33.1
phone anxiety,166,33.3
phone anxiety,167,34.1
phone anxiety,168,33.6
phone anxiety,169,34.6
phone anxiety,170,36.5
phone anxiety,171,38.6
phone anxiety,172,37.6
phone anxiety,173,38.3
phone anxiety,174,40.4
phone anxiety,175,35.9
phone anxiety,176,42.8
phone anxiety,177,42.0
phone anxiety,178,42.4
phone anxiety,179,44.9
